"0x0078"	"x"
"0x1d8d"	"x_j"
"0x0267"	"x\"
"0x0127"	"X\"
"0x0079"	"y"
"0x028f"	"Y"
"0x00ff"	"y_""
"0x1ef9"	"y_~"
"0x1e99"	"y_0"
"0x0177"	"y_F"
"0x00fd"	"y_H"
"0x1ef3"	"y_L"
"0x0233"	"y_M"
"0x007a"	"z"
"0x0292"	"Z"
"0x0290"	"z`"
"0x0293"	"Z_-"
"0x1d76"	"z_e"
"0x1d8e"	"z_j"
"0x01ef"	"Z_R"
"0x0291"	"z\"
